Date,Customer_ID,Customer_Name,Phone,Vehicle_Type,Plate_Number,Service_Type,Complaint,Parts_Replaced,Mechanic_Name,Service_Cost,Payment_Mode,Return_Visit,Rating,Service_Time_Hours,Remarks,Status,Workshop_Location,Referral_Source,Wait_Time_Mins,Spare_Parts_Availability,Parts_Source,Service_Priority,Customer_Type,Fleet_Name,Mechanic_Skill_Level,Parts_Cost,Labour_Cost,Fuel_TopUp?,Discount_Given,Promo_Code_Used,Follow_Up_Date,Has_Insurance_Cover,Mechanic_Notes,Customer_Notes,Request_For_Pickup,Home_Service,Towing_Required,Service_Package,Whatsapp_Followup
05-11-2025,CUS012,Emeka Okafor,08027137020,Mercedes-Benz GLE,LAG947EF,Oil Change,Enjin Knockin,Air filter,Musa,55886,CASH,No,5.0,1.6,Changed all filters,Pending,main bay,Mechanik Referal,,Unavailable,Direct from Benz,Normal,Uber Driver,Logistics Co,Senior ,25000,20000,No,10000,Promo10,,YES,Shock absorber weakening,Always late,N,,Yes,,
13/01/2025,CUS013,Tunde Bayo,08051831217,Toyota Corolla,ABJ155EF,Battery Replacement,engine knoking,"Oil filter, Brake pads",Isaac Bobo,72924,POS,No,5.0,3.3,Urgent service,Pending,VIP section,whatsapp,15,availaible,ladipo mkt,Emergency,Uber Driver,Private,Senior ,25000,30k,Yes,10000,NONE,16/12/2025,Yes,,,,,No,Gold Maintenance Plan,No
2025-04-17,CUS014,Emeka Okafor,08088453254,Mercedes-Benz C300,KAN534CD,Suspension Work,brake faliure,None,,70851,pos,Yes,5.0,2.4,Urgent service,Completed,Under tree,Word of Mouth,15,Unavailable,ladipo mkt,Normal,Fleet Owner,Private,Specialist,15000,20000,Yes,5k,Promo10,2025-07-16,no,Needs tire alignment,,N,no,No,One-time,No
02-21-2025,CUS015,Ngozi Nwachukwu,08068498545,Toyota Corolla,LAG211CD,Oil Change,Oill Change,Air filter,Isaac Bobo,52054,pos,No,3.0,3.3,Urgent service,In progress,VIP section,Mechanic Referral,60,Unavailable,Direct from Benz,Normal,Uber Driver,Logistics Co,speciallist,15000,20000,no,5000,N/A,2025-10-02,,Shock absorber weakening,,No,,,Gold Maintenance Plan,Yes
06-12-2025,CUS016,Aisha Bello,08078870570,Mercedes-Benz C300,ABJ471GH,Oil Change,Oill Change,"Oil filter, Brake pads",,44123,Transfer,Yes,5.0,5.7,Customer waited,Pending,VIP Section,Word of Mouth,45mins,orderd,Benz supply,Emergncy,first timer,,Apprentice,twenty thousand,,,10000,NONE,2025-11-14,no,Shock absorber weakening,,,,No,gold,No
05-31-2025,CUS017,Emeka Okafor,08097470361,Mercedes-Benz C300,LAG128CD,Oil Change,Brake Falure,Battery,Tijani,107888,Cash,Yes,4.0,2.7,Recommended further checks,In progress,VIP section,Mechanic Referral,,Unavailable,Direct from Benz,Emergency,first timer,Logistics Co,Senior ,15000,,no,5k,NONE,12/07/2025,No,,no complain,N,Yes,,One-time,yes
20/02/2025,CUS018,Ngozi Nwachukwu,08058015538,Mercedes-Benz C300,LAG266GH,Engine Repair,,None,Tijani,57603,pos,No,3.0,3.0,Customer waited,In progress,VIP section,whatsapp,45mins,availaible,Direct from Benz,Emergency,Returning,,Senior ,30000,20000,,5k,LOYALTY10,12/11/2025,no,,no complain,,YES,Yes,Gold Maintenance Plan,yes
2025-04-25,CUS019,Aisha Bello,08051766978,Toyota Corolla,ABJ166CD,Oil Change,Suspenshun Noise,"Oil filter, Brake pads",,83667,pos,Yes,3.0,3.9,Customer waited,Pending,main bay,Mechanik Referal,60,Available,ladipo mkt,normal,First Time,Govt Convoy,speciallist,,,Yes,,N/A,2025-08-27,no,Needs tire alignment,Always late,No,YES,Yes,,followed up
12/05/2025,CUS020,Tunde Bayo,08088338313,Honda Accord,KAN111EF,Engine Repair,Suspenshun Noise,Shock absorbers,Isaac Bobo,92278,Transfer,No,4.0,5.0,Urgent service,In progress,Main Bay,Mechanik Referal,45,orderd,ladipo mkt,Emergncy,Returning,,speciallist,25000,,No,10000,,13/07/2025,,Needs tire alignment,,No,,,one time,yes
03-13-2025,CUS021,Ngozi Nwachukwu,08082631078,Mercedes-Benz GLE,ABJ664CD,Brake Service,Brake Falure,Shock absorbers,Tijani,44816,POS,Yes,,1.5,Changed all filters,In progress,VIP section,Mechanik Referal,,Ordered,ladipo mkt,Normal,Uber Driver,,,15000,40000,,10000,Promo10,2025-10-07,,,no complain,,No,No,gold,followed up
02-11-2025,CUS022,John Doe,08029545414,Mercedes-Benz C300,KAN133CD,Battery Replacement,,Battery,Musa,73417,pos,Yes,4.0,2.9,Customer waited,In progress,VIP section,Word of Mouth,45,orderd,ladipo mkt,normal,First Time,,Senior ,40000,35000,,5k,,2025-06-26,Yes,Shock absorber weakening,,,no,,,Yes
02/01/2025,CUS023,Aisha Bello,08029784909,Honda Accord,LAG187GH,Oil Change,brake failur,Shock absorbers,Tijani,27782,CASH,Yes,2.0,4.9,Recommended further checks,Completed,Under tree,Mechanic Referral,30,availaible,Benz supply,normal,Uber Driver,Govt Convoy,Senior ,twenty thousand,,,5000,,2025-07-06,Yes,Shock absorber weakening,Always late,Y,Yes,,,yes
11/01/2025,CUS024,Aisha Bello,08073018412,Toyota Corolla,KAN145GH,Engine Repair,Enjin Knockin,"Oil filter, Brake pads",Tijani,59664,pos,Yes,3.0,3.7,Recommended further checks,In progress,,Road Sign,45,orderd,Benz supply,Booking,Returning,Govt Convoy,Specialist,40000,20000,Yes,5000,Promo10,2025-10-06,Yes,,no complain,Y,Yes,,Gold Maintenance Plan,Yes
06-10-2025,CUS025,John Doe,08051429578,Mercedes-Benz GLE,LAG146CD,Oil Change,Enjin Knockin,Battery,Musa,30284,transfer,No,3.0,2.3,Urgent service,In progress,VIP Section,whatsapp,,Available,Ladipo Market,Booking,Returning,,Apprentice,25000,,,,NONE,30/07/2025,No,Needs tire alignment,,No,No,Towing needed,One-time,No
05-27-2025,CUS026,Aisha Bello,08090977513,Toyota Corolla,LAG195EF,Engine Repair,engine knoking,Timing belt,Uche,84870,pos,No,3.0,2.6,Urgent service,Completed,main bay,Word of Mouth,15,Ordered,Benz supply,Booking,first timer,Private,speciallist,twenty thousand,30k,,5k,N/A,28/09/2025,no,Shock absorber weakening,Always late,N,,No,one time,No
03-23-2025,CUS027,Aisha Bello,08056023301,Lexus RX 350,ABJ465EF,Brake Service,oilchng,Shock absorbers,Tijani,14285,Transfer,Yes,3.0,5.0,Recommended further checks,Pending,VIP section,Mechanik Referal,,Unavailable,Direct from Benz,Emergency,First Time,,Specialist,25000,20000,,,N/A,2025-09-24,Yes,,,No,No,Yes,one time,No
2025-02-26,CUS028,John Doe,08049065941,Honda Accord,LAG612CD,Suspension Work,Suspenshun Noise,None,Isaac Bobo,52655,pos,Yes,,1.8,Customer waited,In progress,Main Bay,Mechanic Referral,45mins,Ordered,ladipo mkt,Normal,First Time,Govt Convoy,Senior ,40000,40000,Yes,0,,05/08/2025,,,Prefers morning,Y,No,Yes,Gold Maintenance Plan,Yes
04-17-2025,CUS029,Ngozi Nwachukwu,08059503523,Mercedes-Benz C300,LAG869EF,Oil Change,Engin Knok,"Oil filter, Brake pads",Musa,28670,Cash,No,2.0,4.2,Urgent service,Pending,Under tree,whatsapp,60,Unavailable,ladipo mkt,normal,First Time,Logistics Co,Apprentice,30000,20000,,10000,Promo10,28/09/2025,Yes,Needs tire alignment,,Y,Yes,Towing needed,,No
14/04/2025,CUS030,Emeka Okafor,08011084726,Toyota Corolla,KAN464CD,Engine Repair,oilchng,None,Isaac Bobo,91082,CASH,No,3.0,5.0,Changed all filters,In progress,Under tree,Mechanic Referral,45mins,orderd,Ladipo Market,Booking,Returning,,Apprentice,40000,30k,YES,5000,LOYALTY10,2025-09-09,,,,,No,Towing needed,Gold Maintenance Plan,
24/02/2025,CUS031,Aisha Bello,08079481912,Mercedes-Benz C300,KAN790CD,Brake Service,Suspenshun Noise,"Oil filter, Brake pads",Isaac Bobo,21827,Transfer,Yes,,5.4,Changed all filters,Pending,main bay,Mechanik Referal,15,Available,ladipo mkt,Booking,first timer,Logistics Co,Senior ,twenty thousand,20000,YES,,N/A,2025-09-30,YES,,,N,No,No,,No
02-25-2025,CUS032,Ngozi Nwachukwu,08088710632,Honda Accord,LAG517GH,Engine Repair,,None,Isaac Bobo,76968,POS,Yes,3.0,2.6,,Completed,,Word of Mouth,30,Ordered,Customer Brought,Normal,Uber Driver,Logistics Co,Specialist,25000,40000,no,,N/A,09/10/2025,No,Needs tire alignment,Prefers morning,,no,,,No
05-24-2025,CUS033,Ngozi Nwachukwu,08098271886,Honda Accord,KAN203GH,Engine Repair,Suspenshun Noise,Air filter,,117042,CASH,Yes,1.0,1.9,Changed all filters,Pending,VIP Section,Mechanik Referal,,Ordered,Direct from Benz,Emergency,First Time,Private,Specialist,twenty thousand,,no,0,Promo10,2025-09-07,Yes,,Always late,,,,gold,followed up
30/01/2025,CUS034,John Doe,08029407935,Mercedes-Benz GLE,ABJ124GH,Brake Service,Oill Change,Battery,,111648,CASH,No,3.0,5.2,Customer waited,Completed,Main Bay,Mechanic Referral,60,Ordered,Direct from Benz,Booking,Fleet Owner,Bolt Driver,Senior ,,40000,No,10000,,2025-09-30,No,Needs tire alignment,Prefers morning,No,,,,No
06-07-2025,CUS035,Ngozi Nwachukwu,08017693044,Lexus RX 350,LAG588GH,Oil Change,Oill Change,Air filter,Musa,97789,Transfer,No,5.0,5.9,Recommended further checks,Completed,,Instagram,45mins,Ordered,Benz supply,Emergncy,Uber Driver,Govt Convoy,Apprentice,25000,40000,No,5k,NONE,2025-06-28,,,,Y,No,Yes,one time,yes
11/01/2025,CUS036,John Doe,08041861591,Lexus RX 350,ABJ397CD,Suspension Work,Engin Knok,Shock absorbers,Uche,107242,pos,Yes,1.0,1.8,Changed all filters,In progress,Under tree,whatsapp,30,availaible,Benz supply,Normal,first timer,,Specialist,25000,30k,Yes,5k,NONE,23/11/2025,no,Needs tire alignment,,Yes,no,Towing needed,one time,followed up
03-07-2025,CUS037,Ngozi Nwachukwu,08078062865,Toyota Corolla,ABJ798EF,Brake Service,suspension noiz,None,Musa,69450,CASH,No,4.0,1.7,Customer waited,In progress,main bay,Mechanik Referal,30,Unavailable,Benz supply,Emergency,Fleet Owner,Bolt Driver,,15000,30k,,10000,Promo10,2025-12-23,No,,,,YES,,one time,No
07/01/2025,CUS038,Emeka Okafor,08085088096,Toyota Corolla,ABJ740CD,Engine Repair,,Timing belt,Isaac Bobo,60123,pos,No,5.0,3.3,Urgent service,Pending,VIP section,Instagram,45mins,availaible,Benz supply,normal,Uber Driver,,speciallist,15000,20000,Yes,0,Promo10,17/12/2025,Yes,Needs tire alignment,,N,no,No,gold,
11/05/2025,CUS039,Tunde Bayo,08017329266,Mercedes-Benz GLE,KAN337CD,Brake Service,Oill Change,"Oil filter, Brake pads",Musa,96203,pos,No,5.0,3.0,Recommended further checks,Pending,main bay,Road Sign,15,Unavailable,Ladipo Market,Normal,First Time,,Specialist,,35000,,,LOYALTY10,2025-07-13,No,Needs tire alignment,no complain,No,Yes,Towing needed,one time,No
17/03/2025,CUS040,Ngozi Nwachukwu,08066648087,Honda Accord,KAN769CD,Engine Repair,brake failur,Shock absorbers,,82587,Cash,Yes,5.0,2.4,Customer waited,Pending,main bay,Mechanik Referal,45,Unavailable,ladipo mkt,Emergency,first timer,Logistics Co,Senior ,40000,30000,,5000,LOYALTY10,,Yes,Needs tire alignment,no complain,N,No,Yes,gold,No
2025-05-12,CUS041,Ngozi Nwachukwu,08056146216,Honda Accord,KAN264GH,Battery Replacement,brake faliure,"Oil filter, Brake pads",Musa,41600,CASH,No,2.0,4.0,Urgent service,Completed,Under tree,Mechanic Referral,45,Ordered,Customer Brought,Emergncy,first timer,Private,Senior,40000,20000,Yes,5k,LOYALTY10,02/11/2025,YES,,Prefers morning,N,Yes,Towing needed,,Yes
01-02-2025,CUS042,Ngozi Nwachukwu,08036227100,Honda Accord,KAN846GH,Brake Service,Suspenshun Noise,"Oil filter, Brake pads",,105624,Cash,Yes,5.0,1.3,Recommended further checks,In progress,VIP section,Instagram,30,Ordered,Benz supply,normal,First Time,,Specialist,twenty thousand,30k,,,N/A,,Yes,,,Y,No,,Gold Maintenance Plan,No
2025-01-17,CUS043,John Doe,08036893461,Mercedes-Benz GLE,KAN635EF,Suspension Work,,Air filter,,23402,pos,No,2.0,5.2,Customer waited,In progress,main bay,Instagram,45mins,Available,Benz supply,Emergncy,Returning,,Senior,twenty thousand,30k,No,10000,N/A,04/09/2025,,Shock absorber weakening,Always late,Y,no,Yes,gold,yes
02-22-2025,CUS044,Aisha Bello,08095973808,Mercedes-Benz C300,LAG904CD,Engine Repair,Oil chang,Air filter,Isaac Bobo,61445,Cash,Yes,,1.9,Recommended further checks,Completed,VIP section,Mechanic Referral,45mins,Unavailable,Direct from Benz,normal,first timer,Logistics Co,Apprentice,25000,40000,Yes,5k,,2025-07-04,Yes,,Always late,N,,Yes,one time,No
01-19-2025,CUS045,John Doe,08037012825,Lexus RX 350,LAG397EF,Engine Repair,Brake Falure,None,Isaac Bobo,16959,Cash,No,3.0,3.7,Customer waited,Pending,VIP Section,Road Sign,30,availaible,Customer Brought,Booking,First Time,Private,speciallist,15000,20000,No,5k,LOYALTY10,,YES,,Prefers morning,Y,,,one time,No
04-28-2025,CUS046,Emeka Okafor,08019180999,Mercedes-Benz C300,KAN976EF,Brake Service,brake faliure,Air filter,Tijani,82007,POS,No,3.0,2.3,,Pending,main bay,Road Sign,15,Ordered,Benz supply,normal,Returning,,Apprentice,25000,40000,No,0,Promo10,08/07/2025,YES,,Always late,,YES,,One-time,followed up
2025-03-26,CUS047,John Doe,08055842323,Honda Accord,ABJ829GH,Engine Repair,Brake Falure,Shock absorbers,Tijani,33809,Cash,No,5.0,3.6,Urgent service,Completed,Main Bay,Mechanik Referal,,availaible,Benz supply,Emergency,Fleet Owner,Bolt Driver,,40000,20000,no,,Promo10,,no,,Prefers morning,N,Yes,Yes,Gold Maintenance Plan,No
03-06-2025,CUS048,Aisha Bello,08035414874,Lexus RX 350,LAG344CD,Engine Repair,Enjin Knockin,Timing belt,Isaac Bobo,104147,Transfer,Yes,4.0,4.9,Changed all filters,In progress,,Road Sign,15,orderd,Ladipo Market,normal,First Time,,,,30k,YES,,NONE,2025-08-05,No,,,,YES,,one time,No
28/05/2025,CUS049,Emeka Okafor,08099638670,Toyota Corolla,KAN721CD,Brake Service,,Shock absorbers,Isaac Bobo,67610,Cash,No,3.0,1.0,Urgent service,Pending,,Mechanik Referal,15,Ordered,Direct from Benz,Emergncy,Fleet Owner,,Senior ,25000,35000,,,NONE,,YES,Shock absorber weakening,,No,no,,one time,No
04-26-2025,CUS050,Aisha Bello,08073850736,Mercedes-Benz GLE,ABJ680GH,Brake Service,Suspensn Noise,Air filter,,25850,pos,No,2.0,5.4,Urgent service,In progress,,Instagram,30,Available,Customer Brought,Booking,first timer,Private,Senior,40000,20000,No,,Promo10,,YES,,Always late,N,no,No,Gold Maintenance Plan,Yes
2025-04-14,CUS051,Aisha Bello,08072733686,Toyota Corolla,LAG199CD,Suspension Work,oilchng,Battery,Isaac Bobo,94596,transfer,Yes,5.0,3.9,,Pending,VIP Section,Mechanic Referral,30,Unavailable,Customer Brought,Booking,first timer,,speciallist,,35000,Yes,5000,LOYALTY10,,no,Needs tire alignment,,Yes,Yes,No,one time,followed up
2025-04-10,CUS052,Tunde Bayo,08090498733,Mercedes-Benz GLE,ABJ884EF,Brake Service,engine knoking,Timing belt,Uche,71442,Transfer,Yes,3.0,1.9,Recommended further checks,Completed,Under tree,Road Sign,15,Available,Benz supply,normal,Fleet Owner,Private,Senior,30000,30000,YES,5k,,,No,,,Yes,No,,Gold Maintenance Plan,No
01-17-2025,CUS053,Emeka Okafor,08054445587,Lexus RX 350,KAN988CD,Oil Change,,None,Musa,33009,POS,No,4.0,4.3,Recommended further checks,In progress,VIP Section,Mechanic Referral,30,Ordered,ladipo mkt,normal,Returning,,Apprentice,30000,30000,No,10000,Promo10,,No,,Always late,Y,,Towing needed,one time,No
12/01/2025,CUS054,Tunde Bayo,08087632976,Lexus RX 350,LAG196EF,Suspension Work,Brake Falure,"Oil filter, Brake pads",Isaac Bobo,18299,transfer,No,3.0,1.2,Customer waited,Pending,Main Bay,Mechanic Referral,60,availaible,ladipo mkt,Emergncy,first timer,Govt Convoy,,twenty thousand,30k,No,5000,,2025-12-11,Yes,Needs tire alignment,,No,Yes,Yes,one time,yes
03-16-2025,CUS055,Tunde Bayo,08085980240,Mercedes-Benz GLE,LAG273EF,Brake Service,,None,,69921,pos,Yes,1.0,3.4,Changed all filters,Completed,VIP Section,Instagram,,orderd,ladipo mkt,Normal,Returning,Private,Apprentice,30000,,YES,10000,N/A,07/09/2025,Yes,Shock absorber weakening,Prefers morning,,,Towing needed,gold,yes
05/06/2025,CUS056,Aisha Bello,08055051587,Honda Accord,ABJ169EF,Battery Replacement,brake failur,Battery,Tijani,100109,transfer,No,5.0,4.3,Recommended further checks,In progress,main bay,Road Sign,45,orderd,Direct from Benz,Booking,first timer,Private,Senior,25000,,YES,10000,Promo10,,no,Shock absorber weakening,Prefers morning,No,YES,,gold,yes
04-12-2025,CUS057,Tunde Bayo,08092691963,Toyota Corolla,KAN472EF,Brake Service,Oill Change,Battery,,38189,Transfer,Yes,,3.7,Urgent service,Completed,VIP Section,Road Sign,45mins,Ordered,ladipo mkt,Emergency,Fleet Owner,,Specialist,25000,35000,YES,0,,2025-08-29,YES,Shock absorber weakening,Prefers morning,Y,No,Yes,one time,Yes
02-10-2025,CUS058,John Doe,08050215871,Mercedes-Benz GLE,ABJ172CD,Brake Service,,"Oil filter, Brake pads",,35994,Transfer,No,,2.2,Recommended further checks,Completed,Under tree,Mechanic Referral,45mins,availaible,Customer Brought,normal,Fleet Owner,Bolt Driver,speciallist,15000,40000,Yes,,,,no,,,,YES,No,Gold Maintenance Plan,followed up
04-11-2025,CUS059,Tunde Bayo,08066196330,Mercedes-Benz C300,KAN890EF,Battery Replacement,engine knoking,Shock absorbers,Isaac Bobo,68051,transfer,Yes,,4.0,Urgent service,Completed,,Word of Mouth,45,availaible,Benz supply,normal,First Time,Govt Convoy,Specialist,,30k,no,5k,,2025-08-12,no,,Prefers morning,Yes,Yes,,,Yes
12/06/2025,CUS060,Tunde Bayo,08054106502,Honda Accord,LAG584EF,Suspension Work,Suspensn Noise,Battery,Tijani,113181,CASH,No,5.0,3.4,Urgent service,Pending,Main Bay,Word of Mouth,45mins,Available,ladipo mkt,normal,first timer,,Senior ,25000,,Yes,,,30/07/2025,No,,Always late,N,,No,One-time,No
01-03-2025,CUS061,Aisha Bello,08031780851,Toyota Corolla,LAG765CD,Engine Repair,engine knoking,Air filter,Musa,104004,Cash,No,2.0,5.2,Changed all filters,Completed,VIP Section,Word of Mouth,15,orderd,ladipo mkt,Normal,First Time,Govt Convoy,Specialist,15000,30k,YES,10000,Promo10,21/08/2025,No,,,N,YES,No,Gold Maintenance Plan,followed up
2025-05-23,CUS062,Ngozi Nwachukwu,08024072446,Toyota Corolla,ABJ682EF,Oil Change,Oill Change,Air filter,Uche,105460,Transfer,No,2.0,4.7,,Completed,Main Bay,whatsapp,45mins,Ordered,Customer Brought,Emergency,Fleet Owner,,Senior,15000,30k,Yes,,LOYALTY10,28/10/2025,,,,N,no,Towing needed,Gold Maintenance Plan,yes
27/05/2025,CUS063,John Doe,08070975394,Honda Accord,ABJ472EF,Battery Replacement,oilchng,Air filter,Musa,38478,Transfer,Yes,2.0,1.5,Urgent service,In progress,Under tree,Mechanic Referral,45,Available,Ladipo Market,Emergncy,Uber Driver,,Senior,twenty thousand,40000,Yes,5000,LOYALTY10,07/12/2025,No,,,Yes,Yes,,gold,Yes
21/05/2025,CUS064,Aisha Bello,08015662934,Mercedes-Benz C300,LAG518GH,Suspension Work,engine knoking,Shock absorbers,Musa,83988,CASH,Yes,1.0,2.7,Urgent service,Completed,,whatsapp,30,orderd,Benz supply,Emergncy,first timer,,Senior ,,30000,No,,,,YES,,Prefers morning,,no,,gold,followed up
30/03/2025,CUS065,Ngozi Nwachukwu,08076562688,Toyota Corolla,KAN232EF,Engine Repair,brake failur,Timing belt,Uche,95904,transfer,No,5.0,5.9,Urgent service,Pending,Main Bay,Mechanik Referal,30,Unavailable,Direct from Benz,Normal,First Time,Bolt Driver,,15000,40000,,0,N/A,,Yes,,,Y,no,,one time,No
2025-06-15,CUS066,John Doe,08039448158,Honda Accord,LAG624GH,Battery Replacement,brake failur,Battery,Uche,86356,CASH,No,3.0,2.2,Customer waited,In progress,main bay,Mechanic Referral,45,Ordered,Benz supply,Booking,Fleet Owner,,Senior ,twenty thousand,35000,,5k,,2025-06-23,,Needs tire alignment,,No,YES,No,,followed up
26/02/2025,CUS067,Emeka Okafor,08010496212,Lexus RX 350,LAG482CD,Battery Replacement,Engin Knok,Shock absorbers,,34398,Cash,Yes,5.0,1.7,Urgent service,In progress,,Word of Mouth,45mins,availaible,Customer Brought,Emergency,Returning,,Senior ,30000,30k,Yes,5000,Promo10,2025-12-30,No,Shock absorber weakening,Always late,N,YES,No,,No
02-16-2025,CUS068,John Doe,08095733862,Mercedes-Benz GLE,KAN523GH,Engine Repair,,Timing belt,Isaac Bobo,119820,POS,No,4.0,5.8,Recommended further checks,In progress,VIP section,Word of Mouth,15,Ordered,Benz supply,Emergncy,Fleet Owner,,Senior,25000,20000,,10000,NONE,13/12/2025,YES,,,Yes,,Towing needed,One-time,No
14/01/2025,CUS069,Emeka Okafor,08039933920,Lexus RX 350,LAG369GH,Suspension Work,Enjin Knockin,Timing belt,Musa,13836,Transfer,No,2.0,4.9,Recommended further checks,Pending,VIP Section,Mechanic Referral,15,Ordered,Ladipo Market,Emergncy,Uber Driver,,Apprentice,twenty thousand,40000,Yes,0,N/A,2025-11-01,No,Needs tire alignment,,Yes,,Yes,Gold Maintenance Plan,
21/05/2025,CUS070,John Doe,08040906854,Toyota Corolla,ABJ735GH,Brake Service,brake faliure,"Oil filter, Brake pads",Isaac Bobo,52706,Transfer,No,5.0,5.6,Customer waited,Completed,main bay,whatsapp,45,Available,Customer Brought,normal,Returning,,,,20000,,5000,,2025-12-31,No,,Prefers morning,N,No,,Gold Maintenance Plan,followed up
2025-01-18,CUS071,Ngozi Nwachukwu,08072617503,Lexus RX 350,ABJ858CD,Brake Service,oilchng,Timing belt,,33827,Cash,Yes,,1.2,Changed all filters,Pending,Under tree,Mechanik Referal,30,Unavailable,Ladipo Market,Emergency,first timer,,Senior,30000,35000,YES,5000,Promo10,2025-06-27,no,,Always late,Y,No,No,Gold Maintenance Plan,No
05/05/2025,CUS072,Emeka Okafor,08093741127,Mercedes-Benz C300,KAN940GH,Engine Repair,Oill Change,Air filter,Tijani,32615,POS,No,4.0,2.1,,Pending,Under tree,Mechanic Referral,15,Available,Ladipo Market,Emergency,Returning,Logistics Co,Apprentice,40000,20000,no,0,Promo10,26/08/2025,No,Needs tire alignment,,No,No,,One-time,Yes
